seriali	serialh	surveyyr	Outcome	IOut	ScrType	DMHSize7	Sex	AgeR	MarSt2_r	LiveW2	WrkStat	PTWork	EverWk	natidgby5_r	natidniy5_r	natiduky5	ethgrp5	ethgrp2	RelHRPr	Rel01r	Rel02r	Rel03r	Rel04r	Rel05r	Rel06r	Rel07r	Country
100708241	10070824	10	110	-1	1	3	1	44	2	-1	2	-1	-1	-1	1	6	1	1	0	0	1	2	-1	-1	-1	-1	401
100708242	10070824	10	110	110	1	3	2	43	2	-1	2	-1	-1	-1	1	6	1	1	1	1	0	2	-1	-1	-1	-1	401
100708243	10070824	10	110	110	1	3	2	11	-1	-1	1	-1	-1	-1	1	6	1	1	3	3	3	0	-1	-1	-1	-1	401
100708281	10070828	10	110	110	1	2	2	55	2	-1	2	-1	-1	-1	3	5	1	1	1	0	1	-1	-1	-1	-1	-1	401
100708282	10070828	10	110	-1	1	2	1	63	2	-1	2	-1	-1	-1	3	5	1	1	0	1	0	-1	-1	-1	-1	-1	401
100709011	10070901	10	110	110	1	4	1	42	2	-1	2	-1	-1	5	-1	6	1	1	0	0	1	2	2	-1	-1	-1	101
100709012	10070901	10	110	-1	1	4	2	43	2	-1	2	-1	-1	5	-1	6	1	1	1	1	0	2	2	-1	-1	-1	101
100709013	10070901	10	110	110	1	4	1	14	-1	-1	1	-1	-1	5	-1	6	1	1	3	3	3	0	4	-1	-1	-1	101
100709014	10070901	10	110	-1	1	4	2	12	-1	-1	1	-1	-1	5	-1	6	1	1	3	3	3	4	0	-1	-1	-1	101
100709031	10070903	10	110	-1	2	2	2	45	1	2	2	-1	-1	4	-1	5	1	1	0	0	2	-1	-1	-1	-1	-1	101
100709032	10070903	10	110	110	2	2	1	10	-1	-1	1	-1	-1	4	-1	5	1	1	3	3	0	-1	-1	-1	-1	-1	101
100709041	10070904	10	110	110	1	2	2	84	2	-1	3	-1	1	1	-1	1	1	1	1	0	1	-1	-1	-1	-1	-1	101
100709042	10070904	10	110	-1	1	2	1	85	2	-1	3	-1	1	4	-1	5	1	1	0	1	0	-1	-1	-1	-1	-1	101
100709091	10070909	10	110	110	1	2	2	26	1	1	2	-1	-1	4	-1	5	1	1	0	0	1	-1	-1	-1	-1	-1	101
100709092	10070909	10	110	-1	1	2	1	26	1	1	2	-1	-1	4	-1	5	1	1	1	1	0	-1	-1	-1	-1	-1	101
100709121	10070912	10	110	-1	2	4	1	47	2	-1	2	-1	-1	4	-1	5	1	1	0	0	1	2	2	-1	-1	-1	101
100709122	10070912	10	110	-1	2	4	2	40	2	-1	2	-1	-1	4	-1	5	1	1	1	1	0	2	2	-1	-1	-1	101
100709123	10070912	10	110	-1	2	4	1	11	-1	-1	1	-1	-1	4	-1	5	1	1	3	3	3	0	4	-1	-1	-1	101
100709124	10070912	10	110	110	2	4	2	8	-1	-1	1	-1	-1	4	-1	5	1	1	3	3	3	4	0	-1	-1	-1	101
100709131	10070913	10	110	110	1	5	2	46	2	-1	3	-1	1	1	-1	1	1	1	1	0	1	2	2	2	-1	-1	101
100709132	10070913	10	110	-1	1	5	1	50	2	-1	2	-1	-1	1	-1	1	1	1	0	1	0	2	2	2	-1	-1	101
100709133	10070913	10	110	-1	1	5	1	16	1	2	1	2	2	1	-1	1	1	1	3	3	3	0	4	4	-1	-1	101
100709134	10070913	10	110	-1	1	5	1	12	-1	-1	1	-1	-1	1	-1	1	1	1	3	3	3	4	0	4	-1	-1	101
100709135	10070913	10	110	110	1	5	1	10	-1	-1	1	-1	-1	1	-1	1	1	1	3	3	3	4	4	0	-1	-1	101
100709241	10070924	10	110	110	1	2	1	76	2	-1	3	-1	1	1	-1	1	1	1	0	0	1	-1	-1	-1	-1	-1	101
100709242	10070924	10	110	-1	1	2	2	23	2	-1	3	-1	1	1	-1	1	1	1	1	1	0	-1	-1	-1	-1	-1	101
100709251	10070925	10	110	110	1	1	2	33	1	-1	3	-1	2	4	-1	5	1	1	0	0	-1	-1	-1	-1	-1	-1	101
100709261	10070926	10	110	-1	2	3	1	44	1	1	2	-1	-1	4	-1	5	1	1	0	0	1	2	-1	-1	-1	-1	101
100709262	10070926	10	110	-1	2	3	2	42	1	1	3	-1	1	4	-1	5	1	1	1	1	0	2	-1	-1	-1	-1	101
100709263	10070926	10	110	110	2	3	2	1	-1	-1	3	-1	-1	4	-1	5	1	1	3	3	3	0	-1	-1	-1	-1	101
100709271	10070927	10	110	-1	2	4	2	39	2	-1	3	-1	1	1	-1	1	1	1	1	0	1	2	2	-1	-1	-1	101
100709272	10070927	10	110	-1	2	4	1	40	2	-1	2	-1	-1	1	-1	1	1	1	0	1	0	2	2	-1	-1	-1	101
100709273	10070927	10	110	110	2	4	1	6	-1	-1	1	-1	-1	1	-1	1	1	1	3	3	3	0	4	-1	-1	-1	101
100709274	10070927	10	110	-1	2	4	2	3	-1	-1	3	-1	-1	1	-1	1	1	1	3	3	3	4	0	-1	-1	-1	101
100709281	10070928	10	110	110	1	4	2	36	2	-1	2	-1	-1	4	-1	5	1	1	1	0	1	2	2	-1	-1	-1	101
